id,캐릭터,표정,텍스트,선택지1,선택지2,배경,브금
0, ,,공원 벤치에서 꽁냥거리는 커플들이 보인다,,,back_park,기본
1,남주,,날도 더운데 왜 이렇게 가까이 붙어 있는거야,,,back_park,기본
2, ,,남자의 이마에 맺힌 땀이 보인다 그런데도 굳이 저렇게 붙어 있는 커플,,,back_park,기본
3,남주,,난 손 잡아본건 엄마밖에 없는데... 부럽다,,,back_park,기본
4, ,,갑자기 입을 맞추는 커플 깜짝 놀라 눈을 돌렸지만 시선이 간다,,,back_park,기본
5,남주,,공원에서 교양없게 저래도돼?,,,back_park,기본
6,남주,,나도 교양 없고 싶다..,,,back_park,기본
7, ,,얼마전 일이 떠오른다,,,,기본
8, ,,수업을 같이 여주... ,,,,기본
9, ,,수업을 같이 듣는 여자애에게 한 눈에 반해버려 쪽지로 고백했지만 차여버렸다.,,,,기본
10, ,,쪽팔려서 저번 수업은 가지도 않았다.,,,,기본
11, ,,하지만 계속 이렇게 빠질 순 없지..,,,,기본
12,남주,,하... 학교 가기 싫다,,,,기본
13, ,girl_angry,쿨하게 그녀에서 인사를 건냈지만 처참히 무시당했다,,,back_classroom,기본
14, ,girl_angry,심란한 마음을 아는지 모르는지 나를 놀려대는 친구들,,,back_classroom,기본
15, ,girl_none,여주가 나를 쳐다본다,,,back_classroom,기본
16, ,girl_none,여주를 보니 포기가 안된다..,,,back_classroom,기본
17, ,girl_none,내가 더 나은 사람이 된다면 기회가 있지 않을까..?,,,back_classroom,기본
18, ,,하교하는 길.,,,back_road2,기본
19, ,,비가 우수수 내린다.,,,back_road2,기본
20, ,girl_none,건물 앞에 여주가 보였다.,,,back_road2,기본
21, ,girl_none,뭐지?,,,back_road2,기본
22, ,girl_none,초조해보인다,,,back_road2,기본
23, ,girl_none,아무래도 우산이 없는 듯하다.,,,back_road2,기본
24, ,girl_none,이건 기회다!,,,back_road2,기본
25,남주,girl_none,저기.. 우산 없어? ,,,back_road2,기본
26,남주,girl_none,데려다줄까?,,,back_road2,기본
27,도희,girl_none,"아, 아뇨. 저 아빠가 데리러 온다고 하셔서.",,,back_road2,기본
28,남주,girl_none,아 그렇구나..,,,back_road2,기본
29, ,girl_none,갑자기 울리는 벨소리.,,,back_road2,기본
30,도희,girl_none,"응, 언제와? 뭐? ",,,back_road2,기본
31,도희,girl_angry,올 수 있다며. 나 빨리 가야한다 했잖아.,,,back_road2,기본
32, ,girl_none,아무래도 오래 걸리는거 같다,,,back_road2,기본
33,도희,girl_none,…알겠어.,,,back_road2,기본
34,남주,girl_none,데려다줄게.,,,back_road2,기본
35,도희,girl_none,…감사해요. 지하철역까지만 가주시면 돼요.,,,back_road2,기본
36, ,girl_none,도희와의 하굣길은 침묵이 대부분이었지만 행복했다.,,,back_road2,기본
37, ,girl_none,"그래, 이렇게 계속 관계를 개선해 나가는거야!!",,,back_road2,기본
38, ,,오늘은 도희와 겹치는 수업이 없었다.,,,back_classroom,기본
39,남주,,아쉽네.. 매일 수업이 겹치면 좋을텐데.. 응?,,,back_classroom,기본
40, ,,정문에 익숙한 실루엣이 보인다.,,,back_classroom,기본
